Protein_id,Gene_id,PxAbundance,GC,TAA,TGA,TAG
ENSMUSP00000047119,ENSMUSG00000042354,27.8,37.8988718189691,1,0,0
ENSMUSP00000087896,ENSMUSG00000070697,14.5,51.702127659574465,1,0,0
ENSMUSP00000113213,ENSMUSG00000057666,8278,72.59081840117138,1,0,0
ENSMUSP00000099544,ENSMUSG00000006221,3.51,68.82352941176471,0,1,0
ENSMUSP00000066797,ENSMUSG00000034544,17.0,50.93376979630626,1,0,0
ENSMUSP00000067164,ENSMUSG00000027630,9.19,43.08899073276154,0,0,1
ENSMUSP00000135902,ENSMUSG00000019977,1.39,44.705450156516584,0,1,0
ENSMUSP00000077676,ENSMUSG00000058252,0,36.30952380952381,1,0,0
ENSMUSP00000020490,ENSMUSG00000020257,20.3,62.62807807245669,0,1,0
ENSMUSP00000078847,ENSMUSG00000059654,4.11,54.216867469879524,0,1,0
ENSMUSP00000120516,ENSMUSG00000054256,7.26,70.38143725216047,0,1,0
ENSMUSP00000055886,ENSMUSG00000095388,11.9,59.62566844919786,0,1,0
ENSMUSP00000033995,ENSMUSG00000031586,30.2,58.835140334449804,0,1,0
ENSMUSP00000069554,ENSMUSG00000053110,102,61.96473706663318,0,0,1
ENSMUSP00000018800,ENSMUSG00000061086,243,66.65949861630041,1,0,0
ENSMUSP00000048696,ENSMUSG00000036430,3.44,79.53216374269006,0,1,0
ENSMUSP00000087336,ENSMUSG00000095670,0,48.51485148514851,1,0,0
ENSMUSP00000043204,ENSMUSG00000038489,4.9,80.88235294117646,0,1,0
ENSMUSP00000081041,ENSMUSG00000031565,6.68,68.55436415368494,0,1,0
ENSMUSP00000048900,ENSMUSG00000042035,0.381,75.76803209532173,1,0,0
ENSMUSP00000030862,ENSMUSG00000029005,0.017,70.34883720930233,0,0,1
ENSMUSP00000064120,ENSMUSG00000054723,0.423,74.4961273666093,0,1,0
ENSMUSP00000033255,ENSMUSG00000030954,8.03,56.14045615404955,0,1,0
ENSMUSP00000061470,ENSMUSG00000036676,2.71,49.54538808425795,1,0,0
ENSMUSP00000024596,ENSMUSG00000023829,0.549,74.27301691658027,1,0,0
ENSMUSP00000079025,ENSMUSG00000035896,16.8,70.66666666666667,0,0,1
ENSMUSP00000020822,ENSMUSG00000020515,2.38,60.54304133485021,0,1,0
ENSMUSP00000093325,ENSMUSG00000030059,2.65,44.26693264272882,1,0,0
ENSMUSP00000109980,ENSMUSG00000074991,0,60.645161290322584,0,1,0
ENSMUSP00000030453,ENSMUSG00000028690,0.007,52.142857142857146,0,1,0
ENSMUSP00000073124,ENSMUSG00000022565,535,73.88353026394657,0,1,0
ENSMUSP00000036361,ENSMUSG00000039055,0.365,59.36952714535902,0,1,0
ENSMUSP00000136324,ENSMUSG00000084957,0.272,48.529411764705884,1,0,0
ENSMUSP00000010248,ENSMUSG00000117924,0.107,64.0,0,1,0
ENSMUSP00000038297,ENSMUSG00000042115,0,69.51566951566952,0,0,1
ENSMUSP00000080256,ENSMUSG00000060317,6.61,53.33184518529793,1,0,0
ENSMUSP00000076217,ENSMUSG00000064037,7.7,59.00967388367666,0,1,0
ENSMUSP00000082270,ENSMUSG00000066415,2.82,46.849840693411906,1,0,0
ENSMUSP00000118841,ENSMUSG00000023873,0.03,62.15108933189083,0,0,1
ENSMUSP00000020071,ENSMUSG00000019913,0.03,52.209014703861484,1,0,0
ENSMUSP00000114203,ENSMUSG00000020235,0.842,72.82775061877514,0,0,1
ENSMUSP00000067681,ENSMUSG00000053317,43.0,62.05675767531438,0,0,1
ENSMUSP00000015100,ENSMUSG00000014956,196,40.465769137889396,0,1,0
ENSMUSP00000128000,ENSMUSG00000031626,72.3,51.12854134592336,0,1,0
ENSMUSP00000066520,ENSMUSG00000055882,0.109,58.526315789473685,0,0,1
ENSMUSP00000000305,ENSMUSG00000000296,3.91,57.54174221489192,0,0,1
ENSMUSP00000089513,ENSMUSG00000069378,0,77.01842546063651,1,0,0
ENSMUSP00000021062,ENSMUSG00000020719,319,37.445362220811326,0,0,1
ENSMUSP00000034473,ENSMUSG00000031991,0.716,52.078853046594986,1,0,0
ENSMUSP00000036330,ENSMUSG00000022449,0.009,56.14987155169814,0,0,1
ENSMUSP00000051907,ENSMUSG00000020686,0.03,64.7147416066951,0,1,0
ENSMUSP00000066620,ENSMUSG00000055866,0.03,67.8060413354531,1,0,0
ENSMUSP00000028829,ENSMUSG00000027351,3.64,44.413776257938444,1,0,0
