Protein_id,Gene_id,PxAbundance,GC,TAA,TGA,TAG
ENSP00000359240,ENSG00000107816,1.19,67.39789059751747,0,0,1
ENSP00000359596,ENSG00000137975,0.556,37.817796610169495,1,0,0
ENSP00000358965,ENSG00000179902,0.002,56.32776989588145,0,0,1
ENSP00000303057,ENSG00000168938,8.25,56.8075117370892,0,1,0
ENSP00000222157,ENSG00000105550,0.203,69.52380952380952,0,1,0
ENSP00000298942,ENSG00000165983,20.0,43.728000731842904,0,0,1
ENSP00000362869,ENSG00000185681,0.131,59.54647660260489,0,0,1
ENSP00000322754,ENSG00000176922,0.017,58.95061728395062,0,1,0
ENSP00000390621,ENSG00000173809,0.042,45.837730998002655,0,1,0
ENSP00000347170,ENSG00000140398,0.206,80.87926161511986,0,0,1
ENSP00000454926,ENSG00000185716,0,59.03194985664072,1,0,0
ENSP00000354487,ENSG00000148516,1.25,36.43812023779443,1,0,0
ENSP00000379228,ENSG00000002746,0.056,64.67293405491161,0,1,0
ENSP00000368496,ENSG00000176022,2.77,96.66666666666667,0,1,0
ENSP00000457016,ENSG00000169592,1.19,73.44478918536056,0,1,0
ENSP00000261254,ENSG00000118971,0.115,73.19116757410768,0,1,0
ENSP00000370443,ENSG00000049192,0.047,41.290364925177215,0,0,1
ENSP00000233535,ENSG00000115194,0.18,75.62768235495172,0,1,0
ENSP00000265529,ENSG00000088727,0.041,54.3766427455971,0,0,1
ENSP00000426528,ENSG00000165566,0.221,78.51586045810728,0,1,0
ENSP00000340474,ENSG00000187609,0.006,74.99038031953717,0,1,0
ENSP00000296785,ENSG00000164331,0.097,35.2765482744971,0,0,1
ENSP00000305302,ENSG00000174358,0.705,75.22568481756682,0,1,0
ENSP00000299454,ENSG00000166363,0,61.63522012578616,0,0,1
ENSP00000407818,ENSG00000109189,0.254,52.716543547109325,1,0,0
ENSP00000380193,ENSG00000129535,0.774,80.90475972828914,0,1,0
ENSP00000355672,ENSG00000181873,9.79,80.3921568627451,0,0,1
ENSP00000321424,ENSG00000131183,0.058,79.12484053691696,0,0,1
ENSP00000250825,ENSG00000129864,0.779,71.42857142857143,0,1,0
ENSP00000316482,ENSG00000151364,1.51,74.22566371681415,0,1,0
ENSP00000220809,ENSG00000104368,1.85,72.41723600445414,0,1,0
ENSP00000337641,ENSG00000154001,16.5,39.56319287235671,1,0,0
ENSP00000270310,ENSG00000221946,1.08,71.2462643724414,1,0,0
ENSP00000307423,ENSG00000168282,1.81,60.044642857142854,0,1,0
ENSP00000013807,ENSG00000012061,2.68,71.36192319928439,0,1,0
ENSP00000295228,ENSG00000163083,0.25,87.00980392156863,0,1,0
ENSP00000303148,ENSG00000171227,0.418,73.03654500802001,0,1,0
ENSP00000382511,ENSG00000005801,0.105,53.442435554292274,0,1,0
ENSP00000225371,ENSG00000121053,24.9,73.74301675977654,0,1,0
ENSP00000355518,ENSG00000091483,399,39.13894324853229,0,1,0
ENSP00000265801,ENSG00000061337,0.509,86.60873648404238,0,1,0
ENSP00000261558,ENSG00000053770,1.57,30.973918718794618,1,0,0
ENSP00000330836,ENSG00000108010,141,39.583333333333336,1,0,0
ENSP00000413001,ENSG00000273540,0.012,59.76410855100442,0,0,1
ENSP00000307636,ENSG00000171160,0.128,53.76648383498631,0,1,0
ENSP00000374467,ENSG00000006071,0.04,75.38316271555125,0,1,0
ENSP00000359664,ENSG00000117151,151,66.03117665293831,0,0,1
ENSP00000307004,ENSG00000169621,6.15,51.651734922336225,1,0,0
ENSP00000248089,ENSG00000103145,0.103,78.79948352753321,0,1,0
ENSP00000304370,ENSG00000168438,7.48,37.26053639846743,1,0,0
ENSP00000310216,ENSG00000183542,0.077,39.62264150943396,0,0,1
ENSP00000289292,ENSG00000158352,0.67,56.53509053145334,1,0,0
ENSP00000356375,ENSG00000177888,0.298,28.021978021978022,0,1,0
ENSP00000347836,ENSG00000186591,36.8,44.88155871068245,0,0,1
ENSP00000266718,ENSG00000139329,891,45.72271386430678,1,0,0
ENSP00000363985,ENSG00000102043,0.487,52.05673758865248,0,1,0
ENSP00000312277,ENSG00000168813,0.067,42.184101224161104,0,0,1
ENSP00000319744,ENSG00000177464,0.006,90.633608815427,0,1,0
ENSP00000361800,ENSG00000119333,0.483,77.424028485481,0,1,0
ENSP00000311280,ENSG00000102034,0.972,65.48267970668097,1,0,0
ENSP00000350491,ENSG00000198056,12.6,44.0733079727983,0,1,0
ENSP00000264779,ENSG00000062194,42.8,32.56628494372716,0,1,0
ENSP00000306223,ENSG00000128739,30.2,44.665077577544956,0,0,1
ENSP00000334463,ENSG00000187123,0.197,51.945606317041154,0,0,1
ENSP00000338777,ENSG00000157823,3.32,56.47289564103081,0,1,0
ENSP00000311030,ENSG00000140798,0.357,60.82354039796198,0,0,1
ENSP00000275605,ENSG00000146733,24.5,62.753227104697125,1,0,0
ENSP00000357342,ENSG00000143630,0.32,73.54838709677419,1,0,0
ENSP00000356430,ENSG00000150681,10.7,30.508474576271187,1,0,0
ENSP00000336528,ENSG00000144852,0.19,74.43209305170792,0,1,0
ENSP00000250971,ENSG00000254647,20.4,78.40015905233297,0,0,1
ENSP00000268793,ENSG00000141096,0.343,69.78428142878741,0,1,0
ENSP00000419751,ENSG00000100121,3.71,77.24922188471066,0,1,0
ENSP00000361043,ENSG00000085999,2.09,58.72115482117431,0,1,0
ENSP00000332528,ENSG00000183034,0.13,84.57238225173973,0,1,0
ENSP00000336923,ENSG00000071205,1.45,49.783928450852926,0,0,1
ENSP00000350773,ENSG00000181894,0.061,45.61939905113337,1,0,0
ENSP00000300179,ENSG00000166924,0.074,75.4135615552453,0,1,0
ENSP00000419119,ENSG00000206474,0.509,74.2035600182565,0,1,0
ENSP00000360811,ENSG00000107187,0.308,87.28160060459216,0,1,0
ENSP00000348635,ENSG00000160593,0.232,56.66530703207036,0,1,0
ENSP00000311695,ENSG00000175602,0.197,83.74384236453201,0,1,0
ENSP00000343318,ENSG00000183778,0.338,67.54310212831112,0,1,0
ENSP00000029410,ENSG00000027847,0.388,88.15420352005717,0,1,0
ENSP00000423115,ENSG00000248933,0.011,59.0885661441436,0,1,0
ENSP00000340088,ENSG00000105549,0.006,71.53025251616258,1,0,0
ENSP00000233596,ENSG00000115255,17.7,80.6199460916442,0,1,0
ENSP00000287996,ENSG00000127080,0.371,64.32926829268294,1,0,0
ENSP00000357583,ENSG00000068383,1.12,71.97314299530146,0,1,0
ENSP00000334594,ENSG00000120519,0.024,45.51299401196664,1,0,0
ENSP00000318629,ENSG00000155975,2.5,49.749400258612084,0,0,1
ENSP00000351325,ENSG00000196844,0.247,54.750432419075864,0,0,1
ENSP00000307599,ENSG00000168356,0.025,52.061955383845465,0,1,0
ENSP00000456548,ENSG00000225968,0.388,93.00361881785284,0,1,0
ENSP00000342858,ENSG00000073712,37.3,46.164028680849945,0,1,0
ENSP00000358820,ENSG00000198758,2.87,72.77252718194521,0,0,1
ENSP00000429430,ENSG00000145934,0.171,67.05322215114113,1,0,0
ENSP00000199320,ENSG00000086189,22.4,45.454722709104566,0,0,1
ENSP00000278742,ENSG00000149418,2.3,83.17757009345794,0,0,1
