Protein_id,Gene_id,PxAbundance,GC,TAA,TGA,TAG
ENSCAFP00000003805,ENSCAFG00000002618,276,78.77358490566037,0,1,0
ENSCAFP00000009661,ENSCAFG00000025580,0.117,49.787626030677416,0,1,0
ENSCAFP00000036160,ENSCAFG00000032392,200,70.37487335359675,0,1,0
ENSCAFP00000024728,ENSCAFG00000016813,170,72.54386544675526,0,1,0
ENSCAFP00000005722,ENSCAFG00000003821,63.0,37.460854562740536,1,0,0
ENSCAFP00000020403,ENSCAFG00000013849,76.3,60.43662549857002,0,1,0
ENSCAFP00000014203,ENSCAFG00000009662,4.59,38.520608576780475,0,1,0
ENSCAFP00000026851,ENSCAFG00000018177,31.8,78.03987025996635,0,0,1
ENSCAFP00000019017,ENSCAFG00000023111,272,56.12244897959184,0,0,1
ENSCAFP00000004512,ENSCAFG00000003026,69.6,80.36529680365297,1,0,0
ENSCAFP00000001014,ENSCAFG00000000701,110,67.217528722549,0,1,0
ENSCAFP00000007049,ENSCAFG00000004730,196,69.86666666666666,0,1,0
ENSCAFP00000027563,ENSCAFG00000018684,0.595,34.46959867422016,1,0,0
ENSCAFP00000024045,ENSCAFG00000016316,11.1,77.33532659557807,0,0,1
ENSCAFP00000035868,ENSCAFG00000011453,81.1,43.31182452829946,1,0,0
ENSCAFP00000025408,ENSCAFG00000017255,302,35.25560963004436,1,0,0
ENSCAFP00000000190,ENSCAFG00000000128,1198,63.63636363636363,0,1,0
ENSCAFP00000020455,ENSCAFG00000013869,68.0,67.80684104627767,1,0,0
ENSCAFP00000005806,ENSCAFG00000003887,4.47,47.030275017333025,1,0,0
ENSCAFP00000039395,ENSCAFG00000000326,20.5,46.84468248559999,0,1,0
ENSCAFP00000010411,ENSCAFG00000007008,17.7,52.09145954185544,1,0,0
ENSCAFP00000009007,ENSCAFG00000005980,4.76,33.7518107194592,1,0,0
ENSCAFP00000002105,ENSCAFG00000001453,8.35,61.23312978568825,1,0,0
ENSCAFP00000020601,ENSCAFG00000013984,34.9,63.131313131313135,0,1,0
ENSCAFP00000019849,ENSCAFG00000013477,204,43.90243902439025,1,0,0
ENSCAFP00000042699,ENSCAFG00000005387,0.214,31.847054010062255,1,0,0
ENSCAFP00000014839,ENSCAFG00000010091,7.75,71.20101648906986,0,1,0
ENSCAFP00000036914,ENSCAFG00000009235,18.6,40.09803921568628,0,1,0
ENSCAFP00000005249,ENSCAFG00000003530,55.6,72.65795206971677,0,0,1
ENSCAFP00000006339,ENSCAFG00000004266,114,46.808510638297875,1,0,0
ENSCAFP00000030827,ENSCAFG00000023214,0.066,60.0,0,1,0
ENSCAFP00000028720,ENSCAFG00000019425,15.2,78.66481355966205,0,1,0
ENSCAFP00000026647,ENSCAFG00000018010,16.1,57.57505821812105,1,0,0
ENSCAFP00000000042,ENSCAFG00000000027,523,45.2991452991453,1,0,0
ENSCAFP00000009440,ENSCAFG00000006262,25.7,35.12294747213304,0,0,1
ENSCAFP00000037006,ENSCAFG00000007895,31.3,61.00078555425041,0,0,1
ENSCAFP00000022006,ENSCAFG00000014919,0.054,63.902339148128966,0,1,0
ENSCAFP00000025180,ENSCAFG00000017105,164,71.33401918918652,0,0,1
ENSCAFP00000000915,ENSCAFG00000000647,0.014,40.13830620492563,0,1,0
ENSCAFP00000035550,ENSCAFG00000009569,87.8,44.71450771450771,1,0,0
ENSCAFP00000026294,ENSCAFG00000017821,11.8,49.81717716314207,0,1,0
ENSCAFP00000002541,ENSCAFG00000001748,0.084,69.1131498470948,0,0,1
ENSCAFP00000005173,ENSCAFG00000003470,21.5,53.395784543325526,1,0,0
ENSCAFP00000005918,ENSCAFG00000003988,6.6,40.427567147998815,1,0,0
ENSCAFP00000001725,ENSCAFG00000001209,499,47.324414715719065,0,0,1
ENSCAFP00000018116,ENSCAFG00000012270,82.2,41.18066429298788,0,1,0
ENSCAFP00000003821,ENSCAFG00000002628,28.8,75.6500326481616,0,1,0
ENSCAFP00000036899,ENSCAFG00000016642,75.2,48.19277108433735,0,1,0
ENSCAFP00000009456,ENSCAFG00000006297,6.37,35.472972972972975,0,1,0
ENSCAFP00000031291,ENSCAFG00000023408,1134,41.125541125541126,0,0,1
ENSCAFP00000030653,ENSCAFG00000017739,9.77,38.21138211382114,1,0,0
ENSCAFP00000022331,ENSCAFG00000015152,352,69.8176694529453,0,1,0
ENSCAFP00000040491,ENSCAFG00000030033,374,72.0626631853786,1,0,0
ENSCAFP00000023616,ENSCAFG00000016031,376,88.24451410658307,1,0,0
ENSCAFP00000010719,ENSCAFG00000007322,9757,73.71054472227455,1,0,0
ENSCAFP00000038052,ENSCAFG00000031648,187,78.57142857142857,0,1,0
ENSCAFP00000013989,ENSCAFG00000009506,386,34.163255360106106,0,0,1
ENSCAFP00000028100,ENSCAFG00000024090,44.3,44.274809160305345,0,0,1
ENSCAFP00000041395,ENSCAFG00000031960,0.038,87.30650154798762,0,0,1
ENSCAFP00000039129,ENSCAFG00000016034,9.35,81.04303353089723,0,1,0
ENSCAFP00000035940,ENSCAFG00000014542,12.5,74.83605162754236,0,1,0
ENSCAFP00000011995,ENSCAFG00000008101,12.5,36.92316794599971,1,0,0
ENSCAFP00000010437,ENSCAFG00000007029,0.481,81.23456790123457,0,0,1
ENSCAFP00000032461,ENSCAFG00000012437,38.5,68.0617806366097,1,0,0
ENSCAFP00000038851,ENSCAFG00000005672,49.0,56.34920634920635,1,0,0
ENSCAFP00000038865,ENSCAFG00000010789,83.8,52.76679841897233,0,0,1
ENSCAFP00000024333,ENSCAFG00000016543,982,78.19227556069661,0,0,1
ENSCAFP00000020757,ENSCAFG00000014074,2694,65.9090909090909,0,0,1
ENSCAFP00000028827,ENSCAFG00000019496,42.9,95.85253456221199,0,0,1
ENSCAFP00000031410,ENSCAFG00000032222,87.1,79.10184249865002,0,1,0
ENSCAFP00000008963,ENSCAFG00000005945,19.3,44.51450189155107,0,1,0
ENSCAFP00000027275,ENSCAFG00000018463,84.3,48.88726900184444,0,1,0
ENSCAFP00000027273,ENSCAFG00000030900,103,62.61682242990654,0,1,0
ENSCAFP00000006156,ENSCAFG00000004140,0.014,85.11222276329187,0,0,1
ENSCAFP00000023971,ENSCAFG00000016277,506,60.6376290974405,0,1,0
ENSCAFP00000020573,ENSCAFG00000013969,19.8,49.05695509512896,0,1,0
ENSCAFP00000009724,ENSCAFG00000006493,98.9,39.76474647830146,0,1,0
ENSCAFP00000019762,ENSCAFG00000013413,119,74.72049489025392,0,1,0
ENSCAFP00000002123,ENSCAFG00000001480,0.121,68.00554016620498,0,0,1
ENSCAFP00000034607,ENSCAFG00000025063,46.9,40.74127627498547,1,0,0
