Protein_id,Gene_id,PxAbundance,GC,TAA,TGA,TAG,Residual,Switch,Recombination
ENSP00000375428,ENSG00000212899,11.1,0.622895622895623,1,0,0,-36.25452871206337,TGA>TAA,0.0
ENSP00000297533,ENSG00000164897,13.1,0.65939577981521,0,0,1,-32.54413749247655,TAG_stay,16.2559188
ENSP00000355001,ENSG00000198914,0.235,0.7391882900864937,0,1,0,-41.670073869888206,TGA_stay,0.0
ENSP00000264952,ENSG00000114124,0.221,0.5354993983152828,1,0,0,-51.22890110940873,TAA_stay,0.0
ENSP00000230658,ENSG00000016082,0.057,0.5430566477355468,0,1,0,-51.038769671532336,TGA_stay,0.409225
ENSP00000288937,ENSG00000158042,12.9,0.5768726989521382,1,0,0,-36.611155194137645,TAA_stay,0.4405634
ENSP00000317780,ENSG00000178741,158,0.5239213290172581,1,0,0,106.00755250892128,TAA_stay,0.0731204
ENSP00000356211,ENSG00000163444,0.237,0.5234305923961097,0,0,1,-51.778443326679955,TAG_stay,5.12e-05
ENSP00000269881,ENSG00000269058,0.369,0.442436436802634,0,0,1,-55.44181584713586,TAG_stay,0.0
ENSP00000296777,ENSG00000164326,2.21,0.5897435897435898,0,1,0,-46.69802741453771,TGA_stay,0.6786044
ENSP00000328472,ENSG00000180739,0.613,0.6956849546215007,0,1,0,-43.33063285926434,TGA_stay,0.2617652
ENSP00000272928,ENSG00000144476,0.67,0.5590136113726447,0,1,0,-49.678029036984206,TGA_stay,1.2774654
ENSP00000357189,ENSG00000143321,311,0.5646330808895189,0,0,1,260.91529836025336,TAG_stay,0.0
ENSP00000301071,ENSG00000167552,714,0.5365245127257225,1,0,0,662.5981355795992,TAA_stay,0.0
ENSP00000317333,ENSG00000178403,0.498,0.6898656898656899,0,0,1,-43.7183226278239,TAG_stay,0.7243202000000001
ENSP00000361721,ENSG00000179862,0.196,0.781981981981982,0,1,0,-39.70376865892709,TGA_stay,0.225542
ENSP00000348211,ENSG00000164209,1.28,0.42543645297186333,0,1,0,-55.32743223268527,TGA_stay,0.3474342
ENSP00000332194,ENSG00000184260,539,0.6282051282051282,1,0,0,491.8942738145048,TAA_stay,0.0028937999999999998
