Protein_id,Gene_id,PxAbundance,GC,TAA,TGA,TAG
ENSBTAP00000016111,ENSBTAG00000012146,29.4,76.13293051359517,0,0,1
ENSBTAP00000022240,ENSBTAG00000016733,0.078,62.44604316546763,0,1,0
ENSBTAP00000024695,ENSBTAG00000018556,178,51.388888888888886,1,0,0
ENSBTAP00000036487,ENSBTAG00000025868,71.4,69.91507735859355,0,0,1
ENSBTAP00000001080,ENSBTAG00000000815,0.031,89.18398871388263,0,1,0
ENSBTAP00000053690,ENSBTAG00000044080,0,46.01366742596811,0,1,0
ENSBTAP00000029254,ENSBTAG00000021943,0.455,66.77327467999109,0,1,0
ENSBTAP00000013589,ENSBTAG00000010286,0.001,29.637377963737798,1,0,0
ENSBTAP00000023336,ENSBTAG00000053703,1.14,41.75824175824176,0,1,0
ENSBTAP00000023854,ENSBTAG00000017939,0.072,64.91372226787182,0,0,1
ENSBTAP00000004395,ENSBTAG00000003389,0.002,87.17948717948718,0,1,0
ENSBTAP00000015120,ENSBTAG00000011383,0.002,42.603737725688944,1,0,0
ENSBTAP00000004181,ENSBTAG00000003222,3.09,47.330960854092524,0,0,1
ENSBTAP00000026712,ENSBTAG00000020048,0.174,56.27611700417872,0,1,0
ENSBTAP00000014053,ENSBTAG00000010624,39.2,57.358048962745386,0,1,0
ENSBTAP00000002963,ENSBTAG00000002295,0.023,32.64583333333333,0,1,0
ENSBTAP00000013086,ENSBTAG00000009916,0.002,59.91240434957712,0,1,0
ENSBTAP00000021123,ENSBTAG00000015892,24.8,51.53846153846154,1,0,0
ENSBTAP00000004653,ENSBTAG00000003576,0.044,68.33476681957187,0,1,0
ENSBTAP00000052086,ENSBTAG00000050871,7.98,64.11290322580645,1,0,0
ENSBTAP00000014879,ENSBTAG00000011203,0,40.17094017094017,1,0,0
ENSBTAP00000021833,ENSBTAG00000016415,0.276,46.474115222255286,1,0,0
ENSBTAP00000013690,ENSBTAG00000010365,0.145,61.86252771618625,1,0,0
ENSBTAP00000049967,ENSBTAG00000038600,1.6,84.1025641025641,0,0,1
ENSBTAP00000011600,ENSBTAG00000008807,0.151,86.66666666666667,0,0,1
ENSBTAP00000006309,ENSBTAG00000004805,0.528,38.888888888888886,0,1,0
